source_station,target_station,weight,training_abs_correlation,distance_weight,distance_km,mutual_training_days,selected_directed,symmetrized_support
P367,P385,0.01551101,0.64503151,0.00000000,,3638,0,1
P367,P387,0.01228741,0.51097667,0.00000000,,3621,0,1
P367,P395,0.02327773,0.67561710,0.87718987,51.192,3627,0,1
P367,P397,0.01532370,0.63724202,0.00000000,,3640,0,1
P367,P398,0.01888954,0.78552890,0.00000000,,3639,1,1
P367,P401,0.01857460,0.77243215,0.00000000,,3633,1,1
P367,P402,0.01768608,0.73548275,0.00000000,,3636,0,1
P367,P404,0.02361581,0.74554241,0.70959145,82.833,3630,0,1
P367,P406,0.02336116,0.76582813,0.61696434,98.280,3638,1,1
P367,P407,0.01498372,0.62310374,0.00000000,,3560,0,1
